timestamp,model,job_type,account_id,prompt_tokens,completion_tokens,total_tokens,latency_ms,success,error
2026-07-31T17:55:25.941079,openai/gpt-oss-120b,csm_extraction,1001,727,656,1383,2426.9,True,
2026-07-31T17:55:27.766127,openai/gpt-oss-120b,csm_extraction,None,765,646,1411,1813.1,True,
2026-07-31T17:55:29.924002,openai/gpt-oss-120b,csm_extraction,None,765,785,1550,2157.9,True,
2026-07-31T17:55:44.405881,openai/gpt-oss-120b,csm_extraction,1004,734,683,1417,14481.9,True,
2026-07-31T17:55:57.436868,openai/gpt-oss-120b,csm_extraction,None,732,564,1296,13031.0,True,
2026-07-31T17:56:10.719300,openai/gpt-oss-120b,csm_extraction,None,752,730,1482,13282.4,True,
2026-07-31T17:56:23.149382,openai/gpt-oss-120b,csm_extraction,1007,754,982,1736,12346.8,True,
2026-07-31T17:56:33.499690,openai/gpt-oss-120b,csm_extraction,None,734,787,1521,10350.3,True,
2026-07-31T17:56:44.545857,openai/gpt-oss-120b,csm_extraction,1009,730,580,1310,11046.2,True,
2026-07-31T17:56:55.863463,openai/gpt-oss-120b,csm_extraction,None,756,794,1550,11317.6,True,
2026-07-31T17:57:04.859907,openai/gpt-oss-120b,csm_extraction,1011,734,659,1393,8996.4,True,
2026-07-31T17:57:16.094207,openai/gpt-oss-120b,csm_extraction,None,732,700,1432,11234.3,True,
2026-07-31T17:57:27.639334,openai/gpt-oss-120b,csm_extraction,None,728,638,1366,11545.1,True,
2026-07-31T17:57:36.338103,openai/gpt-oss-120b,csm_extraction,None,730,801,1531,8698.8,True,
2026-07-31T17:57:44.789953,openai/gpt-oss-120b,csm_extraction,1015,722,844,1566,8451.8,True,
2026-07-31T17:57:59.067248,openai/gpt-oss-120b,csm_extraction,1016,748,599,1347,14277.3,True,
2026-07-31T17:58:09.570670,openai/gpt-oss-120b,csm_extraction,1017,732,693,1425,10503.4,True,
2026-07-31T17:58:17.652956,openai/gpt-oss-120b,csm_extraction,1042,705,516,1221,8082.3,True,
2026-07-31T17:58:23.547530,openai/gpt-oss-120b,csm_extraction,None,711,629,1340,5894.6,True,
2026-07-31T17:58:34.166803,openai/gpt-oss-120b,csm_extraction,None,696,430,1126,10619.3,True,
2026-07-31T17:58:44.195753,openai/gpt-oss-120b,csm_extraction,None,715,483,1198,10013.1,True,
2026-07-31T17:58:49.360819,openai/gpt-oss-120b,csm_extraction,None,715,497,1212,5165.1,True,
2026-07-31T17:58:57.530474,openai/gpt-oss-120b,csm_extraction,None,702,611,1313,8169.7,True,
2026-07-31T17:59:05.384397,openai/gpt-oss-120b,csm_extraction,None,700,496,1196,7853.9,True,
2026-07-31T17:59:17.311569,openai/gpt-oss-120b,csm_extraction,1024,708,539,1247,11927.2,True,
2026-07-31T17:59:24.660439,openai/gpt-oss-120b,csm_extraction,1099,722,554,1276,7348.9,True,
2026-07-31T17:59:31.322913,openai/gpt-oss-120b,csm_extraction,None,719,422,1141,6662.5,True,
2026-07-31T17:59:39.675846,openai/gpt-oss-120b,explanation,1000,557,938,1495,7932.5,True,
2026-07-31T17:59:51.573854,openai/gpt-oss-120b,explanation,1001,657,937,1594,11898.0,True,
2026-07-31T18:00:02.872686,openai/gpt-oss-120b,explanation,1002,617,745,1362,11298.8,True,
2026-07-31T18:00:11.490038,openai/gpt-oss-120b,explanation,1003,625,924,1549,8617.4,True,
2026-07-31T18:00:23.603507,openai/gpt-oss-120b,explanation,1004,619,982,1601,12113.5,True,
2026-07-31T18:00:35.680042,openai/gpt-oss-120b,explanation,1005,608,660,1268,12076.5,True,
2026-07-31T18:00:46.220077,openai/gpt-oss-120b,explanation,1006,657,808,1465,10540.0,True,
2026-07-31T18:00:56.844343,openai/gpt-oss-120b,explanation,1007,619,938,1557,10623.2,True,
2026-07-31T18:01:07.957611,openai/gpt-oss-120b,explanation,1008,592,634,1226,11111.3,True,
2026-07-31T18:01:16.799816,openai/gpt-oss-120b,explanation,1009,592,506,1098,8841.2,True,
2026-07-31T18:01:26.762257,openai/gpt-oss-120b,explanation,1010,581,641,1222,9960.4,True,
2026-07-31T18:01:35.509882,openai/gpt-oss-120b,explanation,1011,582,894,1476,8747.6,True,
2026-07-31T18:01:47.343467,openai/gpt-oss-120b,explanation,1012,607,966,1573,11833.6,True,
2026-07-31T18:01:57.876958,openai/gpt-oss-120b,explanation,1013,595,824,1419,10533.5,True,
2026-07-31T18:02:08.716203,openai/gpt-oss-120b,explanation,1014,0,0,0,10838.1,False,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
2026-07-31T18:02:20.273853,openai/gpt-oss-120b,explanation,1014,612,919,1531,10556.9,True,
2026-07-31T18:02:31.306003,openai/gpt-oss-120b,explanation,1015,599,651,1250,11032.1,True,
2026-07-31T18:02:41.469599,openai/gpt-oss-120b,explanation,1016,608,662,1270,10163.6,True,
2026-07-31T18:02:50.521389,openai/gpt-oss-120b,explanation,1017,629,667,1296,9051.8,True,
2026-07-31T18:03:01.233936,openai/gpt-oss-120b,explanation,1018,592,943,1535,10712.5,True,
2026-07-31T18:03:12.603953,openai/gpt-oss-120b,explanation,1019,636,715,1351,11370.0,True,
2026-07-31T18:03:22.521233,openai/gpt-oss-120b,explanation,1020,588,941,1529,9911.4,True,
2026-07-31T18:03:33.899488,openai/gpt-oss-120b,explanation,1021,578,806,1384,11372.8,True,
2026-07-31T18:03:44.231537,openai/gpt-oss-120b,explanation,1022,582,765,1347,10318.3,True,
2026-07-31T18:03:53.913475,openai/gpt-oss-120b,explanation,1023,586,947,1533,9681.9,True,
2026-07-31T18:04:04.995513,openai/gpt-oss-120b,explanation,1024,594,674,1268,11078.4,True,
2026-07-31T18:04:13.859247,openai/gpt-oss-120b,explanation,1025,543,603,1146,8856.4,True,
2026-07-31T18:04:23.593176,openai/gpt-oss-120b,explanation,1026,0,0,0,9733.9,False,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
2026-07-31T18:04:33.725197,openai/gpt-oss-120b,explanation,1026,541,738,1279,9129.8,True,
2026-07-31T18:04:43.640342,openai/gpt-oss-120b,explanation,1027,549,640,1189,9915.1,True,
2026-07-31T18:04:52.405869,openai/gpt-oss-120b,explanation,1028,551,552,1103,8765.5,True,
2026-07-31T18:05:01.504856,openai/gpt-oss-120b,explanation,1029,553,704,1257,9094.6,True,
2026-08-01T09:42:30.136181,openai/gpt-oss-120b,csm_extraction,1001,727,883,1610,2605.0,True,
2026-08-01T09:42:31.630878,openai/gpt-oss-120b,csm_extraction,None,765,511,1276,1494.7,True,
2026-08-01T09:42:34.113857,openai/gpt-oss-120b,csm_extraction,None,765,976,1741,2483.0,True,
2026-08-01T09:42:53.344426,openai/gpt-oss-120b,csm_extraction,1004,734,754,1488,19230.6,True,
2026-08-01T09:43:06.138004,openai/gpt-oss-120b,csm_extraction,None,732,555,1287,12780.8,True,
2026-08-01T09:43:16.735876,openai/gpt-oss-120b,csm_extraction,None,752,893,1645,10597.9,True,
2026-08-01T09:43:27.790195,openai/gpt-oss-120b,csm_extraction,1007,754,719,1473,11054.3,True,
2026-08-01T09:43:39.121786,openai/gpt-oss-120b,csm_extraction,None,734,852,1586,11321.9,True,
2026-08-01T09:43:53.187165,openai/gpt-oss-120b,csm_extraction,1009,730,751,1481,14065.4,True,
2026-08-01T09:44:02.836314,openai/gpt-oss-120b,csm_extraction,None,756,1002,1758,9649.1,True,
2026-08-01T09:44:14.783115,openai/gpt-oss-120b,csm_extraction,1011,734,583,1317,11946.3,True,
2026-08-01T09:44:25.819981,openai/gpt-oss-120b,csm_extraction,None,732,692,1424,11035.3,True,
2026-08-01T09:44:35.683642,openai/gpt-oss-120b,csm_extraction,None,728,620,1348,9863.7,True,
2026-08-01T09:44:47.175678,openai/gpt-oss-120b,csm_extraction,None,730,903,1633,11492.0,True,
2026-08-01T09:44:58.428508,openai/gpt-oss-120b,csm_extraction,1015,722,760,1482,11251.3,True,
2026-08-01T09:45:08.228697,openai/gpt-oss-120b,csm_extraction,1016,748,576,1324,9799.5,True,
2026-08-01T09:45:18.461726,openai/gpt-oss-120b,csm_extraction,1017,732,644,1376,10232.5,True,
2026-08-01T09:45:25.012084,openai/gpt-oss-120b,csm_extraction,1042,705,506,1211,6550.4,True,
2026-08-01T09:45:35.912779,openai/gpt-oss-120b,csm_extraction,None,711,597,1308,10900.7,True,
2026-08-01T09:45:42.179568,openai/gpt-oss-120b,csm_extraction,None,696,432,1128,6256.2,True,
2026-08-01T09:45:51.830133,openai/gpt-oss-120b,csm_extraction,None,715,489,1204,9649.6,True,
2026-08-01T09:45:57.601358,openai/gpt-oss-120b,csm_extraction,None,715,499,1214,5764.2,True,
2026-08-01T09:46:05.615096,openai/gpt-oss-120b,csm_extraction,None,702,660,1362,7949.6,True,
2026-08-01T09:46:15.435135,openai/gpt-oss-120b,csm_extraction,None,700,490,1190,9820.0,True,
2026-08-01T09:46:23.042565,openai/gpt-oss-120b,csm_extraction,1024,708,502,1210,7607.4,True,
2026-08-01T09:46:31.933105,openai/gpt-oss-120b,csm_extraction,1099,722,664,1386,8890.5,True,
2026-08-01T09:46:42.693153,openai/gpt-oss-120b,csm_extraction,None,719,509,1228,10756.3,True,
2026-08-01T09:46:51.333351,openai/gpt-oss-120b,explanation,1000,557,746,1303,8286.0,True,
2026-08-01T09:47:01.795291,openai/gpt-oss-120b,explanation,1001,655,799,1454,10461.4,True,
2026-08-01T09:47:10.802713,openai/gpt-oss-120b,explanation,1002,618,668,1286,9006.4,True,
2026-08-01T09:47:21.897970,openai/gpt-oss-120b,explanation,1003,620,672,1292,11094.3,True,
